id,title,description,link,published,source,categories,first_seen_iso
20b4905a5784c93d1439a23a60fad71fc6c45fb5,ThreadSignals,"
            Warm leads from real conversations—not cold outreach
          

Discussion
            |
            Link
",https://www.producthunt.com/products/threadsignals-real-buyer-intent,2025-11-18T20:43:58-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
50bda0d643fc3bd69ee8d08a33ebb285a420cff0,BrandJet AI,"
            Turn brand insights into outreach that moves fast
          

Discussion
            |
            Link
",https://www.producthunt.com/products/brandjet-ai,2025-11-12T15:42:17-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
d409164318e458403d31c5d39911e245d1d2f07a,ProspectEcho,"
            Talk to companies running Facebook ads
          

Discussion
            |
            Link
",https://www.producthunt.com/products/prospectecho,2025-11-15T09:29:44-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
c253b839e82fb6df0c8ece8f3c72783a795a9a22,DesignLumo,"
            Generate editable designs & ads using gemini 3
          

Discussion
            |
            Link
",https://www.producthunt.com/products/designlumo,2025-10-04T11:10:52-07:00,https://www.producthunt.com/feed,Design / UI,2025-11-23T21:14:52.621611Z
821a93016ee5849aa71fc1914e09df121b3d7fcc,Felo,"
            The New Work: Visual collaboration workspace with AI agents
          

Discussion
            |
            Link
",https://www.producthunt.com/products/felo-2,2025-11-12T18:15:21-08:00,https://www.producthunt.com/feed,Productivity App,2025-11-23T21:14:52.621611Z
a5e4c01379aa4c09f625448649b78733d0de6f8b,Ember,"
            Describe your meals, track your calories
          

Discussion
            |
            Link
",https://www.producthunt.com/products/ember-104,2025-11-15T07:14:56-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
ed9829f3e61c4dede3e93c84aeb425197ffeb437,Code Mode,"
            Slash MCP token usage by 68%
          

Discussion
            |
            Link
",https://www.producthunt.com/products/utcp,2025-11-17T11:33:43-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
a2f0e4c94baa0f2746a9a23a8dfda5659c02ab81,SuperIntern Translation,"
            Real-time Translation AI, Live Notes & Instant Answers
          

Discussion
            |
            Link
",https://www.producthunt.com/products/superintern,2025-11-22T00:32:23-08:00,https://www.producthunt.com/feed,Productivity App,2025-11-23T21:14:52.621611Z
edacc2f58cc0a17d8617578ee5e9d37772daf33c,Dim Notes,"
            Auto-tags your thoughts
          

Discussion
            |
            Link
",https://www.producthunt.com/products/dim-notes,2025-11-20T23:22:57-08:00,https://www.producthunt.com/feed,Productivity App,2025-11-23T21:14:52.621611Z
4259f82aa083d428b88d62da8439c8cb0d232755,Next3 Offload,"
            Reduce image loading time by offloading media to the cloud.
          

Discussion
            |
            Link
",https://www.producthunt.com/products/next3-offload,2025-11-20T23:01:33-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
3e0ca6c9b708e4dd1fb8bdb90c505424b5f141cc,Yaranga,"
            Turn your WhatsApp voice messages into notes and tasks
          

Discussion
            |
            Link
",https://www.producthunt.com/products/yaranga,2025-11-16T03:42:08-08:00,https://www.producthunt.com/feed,Productivity App,2025-11-23T21:14:52.621611Z
ddc160766287267b4507630c2a69e512704d0c6e,Google Nano Banana Pro,"
            Gemini 3 Pro Image Generator based on Google Nano Banana
          

Discussion
            |
            Link
",https://www.producthunt.com/products/google-nano-banana-pro,2025-11-22T03:29:03-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
868a9aeb9716cb47496e7d88e13825593e6ba814,Textable,"
            Lovable, but Teletext. A full channel from a single prompt.
          

Discussion
            |
            Link
",https://www.producthunt.com/products/textable-3,2025-11-20T05:36:44-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
e794686b6b7539e11d950340dc50ccf72d95694a,Lila by Zivy,"
            Turn every new tab into a 30-second energy reset
          

Discussion
            |
            Link
",https://www.producthunt.com/products/zivy,2025-11-17T09:41:30-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
fc8f3c70b231f2328b115d6ed54a9291975b9e4c,Side Space 2.0,"
            #1 AI Assistant for Your Tabs
          

Discussion
            |
            Link
",https://www.producthunt.com/products/side-space,2025-11-20T03:45:25-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
012098659e913806d95881c1d7dc62994e69b933,AI Browser,"
            Automate anything online with a single prompt.
          

Discussion
            |
            Link
",https://www.producthunt.com/products/ai-browser,2025-11-12T23:24:53-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
273265940dda34322776df5d6ff1fc225d3743b1,Bookmarkjar ®,"
            AI-powered bookmark manager for everything you save
          

Discussion
            |
            Link
",https://www.producthunt.com/products/bookmarkjar,2025-11-16T10:47:51-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
f63d6d9352bcc9418f505040c5bfef659bcb43a2,SynthID by Google DeepMind,"
            Detect AI-generated content with Google’s new watermark tool
          

Discussion
            |
            Link
",https://www.producthunt.com/products/gemini-1-5-pro,2025-11-21T11:43:47-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
28530a332fdd861de683b5d44d42d4eb2d206d78,Hargun's MacOS,"
            A fully interactive, Mac-like experience directly in browser
          

Discussion
            |
            Link
",https://www.producthunt.com/products/hargun-s-macos,2025-11-18T10:04:11-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
401aacb97a37dca01436c77b00ea04d380dfa891,Auto Shutdown,"
            Make Mommy proud, never miss bedtime.
          

Discussion
            |
            Link
",https://www.producthunt.com/products/auto-shutdown,2025-11-20T15:00:13-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
27c0aa2825025aa3ca527b20a8aaa5732f116010,npm.bet,"
            Beautiful, interactive npm trends visualizer
          

Discussion
            |
            Link
",https://www.producthunt.com/products/npm-bet,2025-11-12T02:55:09-08:00,https://www.producthunt.com/feed,Data / Analytics,2025-11-23T21:14:52.621611Z
b28b61ac16ba9f13a68fd9210d962907b4ad2835,Apex Echo Ai,"
            Answer engine optimization platform
          

Discussion
            |
            Link
",https://www.producthunt.com/products/apex-echo-ai,2025-11-21T07:58:24-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
6df3bcb91c30f955af94fee372d37874fb9f3d7b,Onyx,"
            Free, local-first 4K screen recorder
          

Discussion
            |
            Link
",https://www.producthunt.com/products/onyx-free-screen-recorder,2025-11-21T11:48:29-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
976bb344e1ea942344ebb40f815e152dbefa43fd,Mouse Shaker,"
            Simulate activity to stay online on messaging apps
          

Discussion
            |
            Link
",https://www.producthunt.com/products/mouse-shaker,2025-11-16T15:51:09-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
d7ccd8451d06b66bb17be8d8bd0d800eb1e71285,Better Upload,"
            Simple and easy file uploads for React, use your S3 bucket
          

Discussion
            |
            Link
",https://www.producthunt.com/products/better-upload,2025-11-21T12:53:28-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
6127f321248da03cbcd2ac129f3e7c0940301591,OCR Arena,"
            The world's first OCR leaderboard
          

Discussion
            |
            Link
",https://www.producthunt.com/products/ocr-arena,2025-11-19T21:33:56-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
47f9831d656944f592973e2a8b4da9fc26bf5673,Chime - Remember Everything,"
            One alert system for all your time-sensitive items
          

Discussion
            |
            Link
",https://www.producthunt.com/products/chime-remember-everything,2025-11-08T16:42:18-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
925f4b31c7e6f2499459359bd0f9f6b2a6f44b65,SAM 3 & 3D,"
            Segment anything in images & video. Reconstruct 3D objects.
          

Discussion
            |
            Link
",https://www.producthunt.com/products/meta,2025-11-20T23:26:15-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
67dde1b8aaff7b8d12ceb19648518aa69d73b93f,TurtleBar - Smart Battery Saver for Mac,"
            Extend your Mac's battery life with one click.
          

Discussion
            |
            Link
",https://www.producthunt.com/products/turtlebar-smart-battery-saver-for-mac,2025-11-19T02:10:07-08:00,https://www.producthunt.com/feed,Developer Tool,2025-11-23T21:14:52.621611Z
379a856182930459650f9a38cff2d50d764fa360,Storiara,"
            AI Coordination and Budgeting for Indie Filmmakers
          

Discussion
            |
            Link
",https://www.producthunt.com/products/storiara,2025-11-12T08:00:53-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
82f2a2fa7c766533404fab83562cca23adf361dd,Neat Photo (Beta),"
            A daily photo game that teaches you to see differently.
          

Discussion
            |
            Link
",https://www.producthunt.com/products/neat-photo-beta,2025-11-20T23:18:24-08:00,https://www.producthunt.com/feed,Other,2025-11-23T21:14:52.621611Z
3b0d4b44f684d57012be6ae7ece0049a63f7f1d1,AI Detector,"
            A lightweight and super fast AI detector that actually works
          

Discussion
            |
            Link
",https://www.producthunt.com/products/ai-detector-7,2025-11-20T03:50:10-08:00,https://www.producthunt.com/feed,Productivity App,2025-11-23T21:14:52.621611Z
